district,mae,rmse
Changlang,1453.189697265625,1459.1096600324458
Mayurbhanj,1459.38134765625,1771.5286478067467
Maharajganj,1463.707275390625,1622.3335045544736
Bharatpur,1474.601806640625,1745.9992840777456
Jharsuguda,1475.04833984375,1526.4561081144784
Dhemaji,1475.992431640625,1538.6892148838895
Junagadh,1477.033447265625,1584.8463647937613
Raichur,1484.993896484375,1778.900292315452
Kishtwar,1493.894775390625,1514.1187205764284
Betul,1499.2548828125,1924.1780063185422
South Goa,1503.183837890625,1555.1482244467888
Reasi,1503.6641845703125,1536.4659124106854
Rae Bareli,1504.3905029296875,1778.833606608555
West Kameng,1511.3251953125,1535.3201620508994
Srikakulam,1517.6505126953125,1800.5402661423598
Baran,1519.52099609375,1781.8503725060643
Kokrajhar,1520.3994140625,1578.5798997833465
Ghazipur,1522.4189453125,1724.8794885440548
Dewas,1527.3624267578125,1787.713483755157
East Siang,1529.18408203125,1546.095889652385
Saharsa,1529.4180908203125,1688.0585001711286
Serchhip,1530.017822265625,1570.6636336275187
Dhalai,1531.4183349609375,1578.7512470303864
Sirmaur,1542.22509765625,1578.2681964735905
Imphal East,1546.132568359375,1647.7634842415946
Chhatarpur,1551.7763671875,1840.4112312198054
Warangal,1553.1121826171875,1885.391206089601
Wokha,1557.8037109375,1580.4128416334765
Pilibhit,1558.6710205078125,1876.0702945252344
Deoria,1562.6558837890625,1750.140994320172
Budaun,1571.292724609375,1795.557852033735
Samba,1571.46240234375,1583.7291435090788
Baksa,1571.9547119140625,1644.589690469936
Kullu,1573.55908203125,1599.533994637188
Unnao,1580.7286376953125,1934.6263205073997
Churachandpur,1582.26953125,1619.9493047623434
Namakkal,1586.1351318359375,1932.1468629480523
Siddharth Nagar,1589.8636474609375,1870.7133666064399
Adilabad,1591.7177734375,1837.4553055788867
Lohit,1592.48876953125,1608.0346700242505
Begusarai,1592.500244140625,1898.396428568069
Tawang,1593.203125,1616.540287156494
Muzaffarnagar,1599.3267822265625,1988.8683968528435
Tiruvannamalai,1605.571044921875,1845.8144543805047
Aizawl,1605.68212890625,1661.7200426064553
Lunglei,1606.070556640625,1648.0722830021746
Thoubal,1609.164794921875,1733.6936003804133
South Garo Hills,1610.864013671875,1660.9569530845765
Kollam,1614.6348876953125,1886.865390005339
Mon,1623.7132568359375,1634.3830640336432
Amritsar,1628.138671875,1870.6454768341328
Kurung Kumey,1631.83203125,1638.4272946945189
Senapati,1632.729736328125,1678.6482657185811
Thiruvananthapuram,1637.4521484375,1798.3068425605236
Madhepura,1639.17919921875,1885.1508560324821
Debagarh,1651.3349609375,1678.5183942989722
Dibrugarh,1653.1905517578125,1672.5616580562883
Upper Subansiri,1662.994140625,1667.3472943571173
Ajmer,1677.23974609375,1928.3385983794444
Champhai,1683.8048095703125,1697.0729212382125
Sivasagar,1687.7593994140625,1720.3136341958113
Bishnupur,1700.2322998046875,1764.7746315039776
Ukhrul,1700.8465576171875,1745.6770892693758
Lower Subansiri,1702.2413330078125,1728.462322412612
New Delhi,1702.2774658203125,1705.844072592803
Tamenglong,1704.99853515625,1716.3780178037705
West Khasi Hills,1706.73046875,1721.2713324749238
Peren,1710.44287109375,1736.7188891700348
Dima Hasao,1715.3843994140625,1722.9239681425295
Lower Dibang Valley,1719.083251953125,1724.9744201001938
Siwan,1730.0574951171875,2002.958748951161
Ghaziabad,1734.8597412109375,2202.8395311506465
Mahasamund,1739.244873046875,1863.4578744903251
Gonda,1740.2647705078125,1971.8058981552927
Araria,1743.129150390625,1988.2966956669218
